"country","year","suicide_no","population","GDP_year","GDP_percap","suicide_ratio"
"Albania",1985,NA,NA,NA,NA,NA
"Albania",1986,NA,NA,NA,NA,NA
"Albania",1987,73,2709600,2156624900,796,2.69412459403602
"Albania",1988,63,2764300,2.126e+09,769,2.2790579893644
"Albania",1989,68,2803100,2335124988,833,2.42588562662766
"Albania",1990,NA,NA,NA,NA,NA
"Albania",1991,NA,NA,NA,NA,NA
"Albania",1992,47,2822500,709452584,251,1.6651904340124
"Albania",1993,73,2807300,1228071038,437,2.60036333843907
"Albania",1994,50,2849300,1985673798,697,1.75481697258976
"Albania",1995,88,2903400,2424499009,835,3.03092925535579
"Albania",1996,89,2940200,3314898292,1127,3.0270049656486
"Albania",1997,170,2977300,2359903108,793,5.70987135995701
"Albania",1998,154,3012700,2707123772,899,5.11169382945531
"Albania",1999,139,3029700,3414760915,1127,4.58791299468594
"Albania",2000,54,2796300,3632043908,1299,1.9311232700354
"Albania",2001,119,2799349,4060758804,1451,4.25098835479249
"Albania",2002,133,2818839,4435078648,1573,4.7182545721838
"Albania",2003,124,2843929,5746945913,2021,4.36016510960717
"Albania",2004,146,2874991,7314865176,2544,5.07827676677944
"Albania",2005,0,2783320,8158548717,2931,0
"Albania",2006,0,2780176,8992642349,3235,0
"Albania",2007,124,2770344,10701011897,3863,4.47597843444713
"Albania",2008,160,2757059,12881352688,4672,5.80328531235639
"Albania",2009,0,2745735,12044212904,4387,0
"Albania",2010,96,2736025,11926953259,4359,3.5087398689705
"Albania",2011,NA,NA,NA,NA,NA
"Albania",2012,NA,NA,NA,NA,NA
"Albania",2013,NA,NA,NA,NA,NA
"Albania",2014,NA,NA,NA,NA,NA
"Albania",2015,NA,NA,NA,NA,NA
"Albania",2016,NA,NA,NA,NA,NA
"Antigua and Barbuda",1985,0,62574,240923926,3850,0
"Antigua and Barbuda",1986,0,61270,290440148,4740,0
"Antigua and Barbuda",1987,0,60261,337174852,5595,0
"Antigua and Barbuda",1988,0,59564,398637741,6693,0
"Antigua and Barbuda",1989,0,59238,438794778,7407,0
"Antigua and Barbuda",1990,1,59334,459469074,7744,1.68537432163684
"Antigua and Barbuda",1991,0,60394,481706333,7976,0
"Antigua and Barbuda",1992,0,61741,499281148,8087,0
"Antigua and Barbuda",1993,1,63315,535172778,8453,1.57940456447919
"Antigua and Barbuda",1994,0,65044,589429593,9062,0
"Antigua and Barbuda",1995,0,66846,577280741,8636,0
"Antigua and Barbuda",1996,NA,NA,NA,NA,NA
"Antigua and Barbuda",1997,NA,NA,NA,NA,NA
"Antigua and Barbuda",1998,0,72225,727860593,10078,0
"Antigua and Barbuda",1999,0,73832,766198926,10378,0
"Antigua and Barbuda",2000,2,75326,830158778,11021,2.65512572020285
"Antigua and Barbuda",2001,2,76497,800740259,10468,2.61448161365805
"Antigua and Barbuda",2002,0,77588,814615333,10499,0
"Antigua and Barbuda",2003,1,78658,855643111,10878,1.27132650207226
"Antigua and Barbuda",2004,2,79722,919577148,11535,2.50871779433532
"Antigua and Barbuda",2005,0,80809,1022191296,12649,0
"Antigua and Barbuda",2006,0,81973,1157005444,14114,0
"Antigua and Barbuda",2007,1,83131,1311401333,15775,1.20292069143881
"Antigua and Barbuda",2008,0,84273,1368431037,16238,0
"Antigua and Barbuda",2009,0,85405,1224253000,14335,0
"Antigua and Barbuda",2010,NA,NA,NA,NA,NA
"Antigua and Barbuda",2011,NA,NA,NA,NA,NA
"Antigua and Barbuda",2012,0,88703,1211411704,13657,0
"Antigua and Barbuda",2013,0,89779,1192925407,13287,0
"Antigua and Barbuda",2014,0,90837,1280133333,14093,0
"Antigua and Barbuda",2015,1,91889,1364863037,14853,1.08826954260031
"Antigua and Barbuda",2016,NA,NA,NA,NA,NA
"Argentina",1985,1988,27090800,88416668900,3264,7.33828458369631
"Argentina",1986,2284,27244400,110934442763,4072,8.38337419800032
"Argentina",1987,2286,27599400,111106191358,4026,8.28278875627731
"Argentina",1988,2354,28308000,126206817196,4458,8.31567048184259
"Argentina",1989,2247,28702000,76636898036,2670,7.82872273709149
"Argentina",1990,2140,29091100,141352368715,4859,7.35620172492618
"Argentina",1991,1951,29623000,189719984268,6404,6.5860986395706
"Argentina",1992,2184,30045400,228788617202,7615,7.26899958063464
"Argentina",1993,2230,30477500,236741715015,7768,7.31687310310885
"Argentina",1994,2241,30911200,2.5744e+11,8328,7.24979942545097
"Argentina",1995,2204,31345400,258031750000,8232,7.03133474130175
"Argentina",1996,2229,31780700,272149750000,8563,7.01369069907208
"Argentina",1997,2184,32333781,2.92859e+11,9057,6.75454565613592
"Argentina",1998,2347,32757259,298948250000,9126,7.16482413867412
"Argentina",1999,2423,33174862,2.83523e+11,8546,7.30372292128902
"Argentina",2000,2774,33585533,284203750000,8462,8.25950864022316
"Argentina",2001,3132,34010946,268696750000,7900,9.20880001397197
"Argentina",2002,3162,34407507,97724004252,2840,9.18985499298162
"Argentina",2003,3289,34785907,127586973492,3668,9.45497841985262
"Argentina",2004,3121,35162945,164657930453,4683,8.87582083923858
"Argentina",2005,3058,35550617,198737095012,5590,8.60181976588479
"Argentina",2006,3108,35918886,232557260817,6475,8.65282960056167
"Argentina",2007,2946,36315492,287530508431,7918,8.11224036287323
"Argentina",2008,3059,36733520,361558037110,9843,8.32754388906917
"Argentina",2009,2884,37158001,332976484578,8961,7.76145089182812
"Argentina",2010,2943,37578454,423627422092,11273,7.83161542515826
"Argentina",2011,2912,38015739,530163281575,13946,7.65998524979351
"Argentina",2012,3248,38441778,545982375701,14203,8.44914093203493
"Argentina",2013,2987,38859125,552025140252,14206,7.68674024440849
"Argentina",2014,3231,39276555,526319673732,13400,8.22628155651635
"Argentina",2015,3073,39699624,594749285413,14981,7.7406274679075
"Argentina",2016,NA,NA,NA,NA,NA
"Armenia",1985,NA,NA,NA,NA,NA
"Armenia",1986,NA,NA,NA,NA,NA
"Armenia",1987,NA,NA,NA,NA,NA
"Armenia",1988,NA,NA,NA,NA,NA
"Armenia",1989,NA,NA,NA,NA,NA
"Armenia",1990,93,2983700,2256838858,756,3.11693534872809
"Armenia",1991,80,3230800,2068526522,640,2.47616689364863
"Armenia",1992,83,3308700,1272577456,385,2.50853809653338
"Armenia",1993,106,3366600,1201313201,357,3.14857719954851
"Armenia",1994,112,3402500,1315158670,387,3.29169728141073
"Armenia",1995,130,3443200,1468317350,426,3.77555762081784
"Armenia",1996,87,3486300,1596968913,458,2.495482316496
"Armenia",1997,77,3526700,1639492424,465,2.18334420279581
"Armenia",1998,66,3558000,1893726437,532,1.85497470489039
"Armenia",1999,67,3580700,1845482181,515,1.87114251403357
"Armenia",2000,61,3606500,1911563665,530,1.69139054484958
"Armenia",2001,60,3610516,2118467913,587,1.66181232821015
"Armenia",2002,74,3014844,2376335048,788,2.45452169332808
"Armenia",2003,59,3024366,2807061009,928,1.95082208965449
"Armenia",2004,NA,NA,NA,NA,NA
"Armenia",2005,NA,NA,NA,NA,NA
"Armenia",2006,78,2764396,6384451606,2310,2.82159285427992
"Armenia",2007,71,2735313,9206301700,3366,2.59568100615908
"Armenia",2008,63,3045391,11662040714,3829,2.06869988123036
"Armenia",2009,53,2689695,8647936748,3215,1.97048364219735
"Armenia",2010,73,2676225,9260284938,3460,2.72772281852236
"Armenia",2011,67,2670366,10142111334,3798,2.50901936288883
"Armenia",2012,79,2814300,10619320049,3773,2.80709234978503
"Armenia",2013,67,2810664,11121465767,3957,2.38377835273088
"Armenia",2014,58,2803029,11609512940,4142,2.06919015108299
"Armenia",2015,74,2795335,10553337673,3775,2.64726767990241
